Company,Brief Description,Protein category,B2B/B2C,Company focus,Company type,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,HQ Country,HQ State (U.S. only),HQ City,Website,Year founded,Founders
SavorEat,"SavorEat develops digitally produced plant-based meat alternatives with the taste, texture, and experience of real meat using a smart robot. ",Plant-based,B2C,Meat,Diversified,End product formulation and manufacturing,Ground meat/seafood,Beef/veal,"Pea,Chickpea,Potato",Africa/Middle East,Israel,,Rehovot,https://savoreat.com/,2018,"Racheli Vizman, Ido Braslavsky, Oded Shoseyov"
ScaleUp Bio,"ScaleUp Bio provides global food tech start-ups with access to state-of-the-art, dedicated food-grade microbial and precision fermentation facilities, industry resources and the right relationships to accelerate their innovative microbial and precision fermentation solutions, from ideation to market.",Fermentation-derived,B2B,Contract manufacturing/processing,Specialized (focused on alternative proteins),Bioprocess design,"Ground meat/seafood,Ingredients,Whole muscle meat/seafood",,,Asia Pacific,Singapore,,,https://www.scaleupbio.com/,2023,Troels Prahl 
Schaaf Technologie,"Designs and manufactures food extruders and the associated machines for the production of extruded snacks, breakfast cereals, coextruded products and flatbreads.",Plant-based,B2B,Food processing infrastructure and equipment,Diversified,End product formulation and manufacturing,,,,"Europe,Asia Pacific",Germany,,Bad Camberg,https://www.foodextrusion.de/en/home,1974,Heinz Schaaf
Schouten Food,Producer of a variety of plant-based meats; provides private label production. Partnering with Grassa to develop a grass protein meat alternative. ,Plant-based,"B2C,B2B","Meat,Contract manufacturing/processing,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other meat/seafood,Ground meat/seafood","Chicken,Beef/veal,Other fish,Tuna","Wheat,Soy,Pea,Mycoprotein,Beetroot ","Europe,Africa/Middle East,Asia Pacific,Australia/New Zealand,Latin America,United States and Canada",Netherlands,,Giessen,https://www.schoutenfood.com/usa/,1930,"Marinas, Bart, and Otto Schouten"
Schreiber Foods,"Schreiber Foods strives to do good through food every day. Based in North America, we’re a customer-brand leader in cream cheese, natural cheese, process cheese, shelf-stable beverages, plant based foods and yogurt.",Plant-based,"B2C,B2B","Dairy,Food processing infrastructure and equipment,Contract manufacturing/processing",Diversified,End product formulation and manufacturing,"Other dairy,Cheese,Other",Other,,United States and Canada,United States,Wisconsin,Green Bay,https://www.schreiberfoods.com/,1946,Employee-Owned Company
SCHULE Mühlenbau ,"German machinery manufacturer that built a processing facility for peas and fava beans in Latvia, commissioned by Golden Fields Alternative Protein.",Plant-based,B2B,Food processing infrastructure and equipment,Diversified,Ingredient optimization,,,"Pea,Fava bean",Europe,Germany,,,https://www.schulefood.com/en/,1892,
Sea & Believe,Ireland-based company producing plant-based seafood and burgers using locally-harvested seafood and micro algae.,Plant-based,B2C,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Other fish,"Algae,Seaweed",Europe,Ireland,,Dublin,https://www.sea-believe.com/,2020,Jennifer O'Brien
Sea-Stematic,South Africa-based company focused on manufacturing fish through cell cultivation and with progressive food production R&D processes,Cultivated,B2C,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,Other fish,,Africa/Middle East,South Africa,,Johannesburg,https://sea-stematic.com/,2021,Marica Quarsingh
Sea2Cell,Israel-based company producing proprietary immortalized fish cell lines for the production of cultivated fish.,Cultivated,B2C,Seafood,Specialized (focused on alternative proteins),"Cell line development,End product formulation and manufacturing",Whole muscle meat/seafood,Other fish,,Africa/Middle East,Israel,,Qiryat Shemona,https://sea2cell.com/,2021,
Seabloom,France-based company producing plant-based seafood,Plant-based,B2C,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,,Tuna,"Pea,Seaweed",Europe,France,,,https://www.seabloomfood.com/,2020,Greta Desforges-Hodgson
Seamore,"Produces plant-based meat substitutes out of seaweed, among other seaweed products",Plant-based,B2C,Meat,Diversified,End product formulation and manufacturing,Other meat/seafood,,Algae,Europe,Netherlands,,Amsterdam,https://seamorefood.com/,2015,Willem Sodderland
Seawith,South Korea-based company producing cultivated meat through algal engineering technology with algae-based scaffold and media.,Cultivated,B2C,Meat,Specialized (focused on alternative proteins),"Bioprocess design,Ingredient optimization",Whole muscle meat/seafood,,Algae,Asia Pacific,South Korea,,,https://seawith.net/,2019,Joonho Keum and Heejae Lee 
Seed to Surf,Canadian based company that produces plant-based seafood.,Plant-based,B2C,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,,"Other fish,Crab",,United States and Canada,Canada,,Toronto ,www.seedtosurf.ca,2020,
Seedling Biosystems,US-Based company using an innovative approach to produce plant-based ingredients for dairy and infant formula companies.,"Plant molecular farming,Plant-based",B2B,"Ingredients and inputs,Contract manufacturing/processing",Diversified,"Crop development,Bioprocess design",,,,United States and Canada,United States,Colorado,Boulder,seedling.bio,2021,"Brian DeDecker, Simon Kalmus"
"Sempera Organics, Inc.","Makers of Mamu, a new pillar of food made from mushrooms, mycelium and chick peas. Developing a mycelium based hybrid bio-refinery to produce products for food and wellness to impact global scale, climate resilient, sustainable food supply chain. In market and revenue generating, looking to scale.",Fermentation-derived,"B2C,B2B","Meat,Ingredients and inputs",Diversified,Ingredient optimization,"Ground meat/seafood,Other meat/seafood",,Mushrooms,United States and Canada,United States,California,Morgan Hill,"www.eatmamu.com, www.semperaorganics.com",2020,Nirmal Nair
Senara,The first cell-based milk company in Europe.,Cultivated,"B2C,B2B",Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,,Europe,Germany,,Freiburg,https://www.senara.bio/,2022,Dr. Svenja Dannewitz und Dr. Philipp-Prosseda
SERio,Polish plant-based cheese brand based on lupins.,Plant-based,B2B,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,Lupine,Europe,Poland,,,https://serioser.io/en,2020,
Seva Foods,Produces plant-based freeze dried ice cream and coconut jerky,Plant-based,B2C,"Dairy,Meat",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other dairy,Other meat/seafood",,Coconut,United States and Canada,United States,California,Encinitas,http://sevafoods.com/,2017,Michelle May
Sgaia Foods,UK-based producer of alternative meat products from a mix of wheat and either pea or soya protein.,Plant-based,"B2C,B2B",Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other meat/seafood,"Beef/veal,Pork,Chicken","Wheat,Soy,Pea,Yeast",Europe,United Kingdom,,Paisley,https://www.sgaiafoods.co.uk/,2015,Alberto Casotto
SGProtein,Singapore-based company that produces plant-based meat products,Plant-based,,"Contract manufacturing/processing,Meat",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Whole muscle meat/seafood,Ground meat/seafood","Beef/veal,Chicken,Tuna",,Asia Pacific,Singapore,,Singapore,https://www.eatsgprotein.com/,2020,"Dominique Kull, Riccarda Zuellig, and Thomas Ludescher"
Shaanxi TOP Pharm Chemical Co.,"Chinese manufacturer and exporter of raw pharmchemical materials, food additives, and plant extracts.",Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,Ingredients,,,Asia Pacific,Mainland China,,Xi'an,http://www.top-pharmchem.com/EN/index.asp,2007,Xiangyang Gao
Shafi Gluco-Chem (Pvt. Ltd.,Manufacturer and distributor of sweeteners and proteins. ,Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,,,"Tapioca,Rice",Asia Pacific,Pakistan,,Karachi,https://glucochem.com,2003,
Shaka Harry,Shaka Harry is a startup focusing on plant-based meats for Indian palate. ,Plant-based,"B2B,B2C",Meat,Specialized (focused on alternative proteins),"End product formulation and manufacturing,Ingredient optimization",Ground meat/seafood,"Chicken,Mutton/lamb","Soy,Pea",Asia Pacific,India ,,Bangalore,https://www.shakaharry.com/,2020,"Anand Nagarajan, Sandeep Devgan, Hemalatha Srinivasan, Ruth Renita and Anoop Haridasan"
Shandi Global,Singapore-based producer of plant-based chicken that has a complete amino acid profile and is more affordable than meat. ,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,Chicken,Lentils,Asia Pacific,Singapore,,Singapore,https://shandiglobal.com/,2019,Reena Sharma
Shandong Bangye Co.,"Chinese manufacturer and marketer of agricultural ingredients, machinery, and chemical ingredients. ",Plant-based,B2B,Ingredients and inputs,Diversified,"Ingredient optimization,Crop development",Ingredients,,"Rice,Soy,Pea,Wheat",Asia Pacific,Mainland China,,Qingdao,http://www.bangye.com,2012,Xiangji Xie
Shandong Jianyuan Group,China-based company producing pea proteins and researching product applications,Plant-based,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),Ingredient optimization,Ingredients,,Pea,Asia Pacific,Mainland China,,Zhaoyuan ,http://en.jianyuangroup.com,2015,Cheng Wang
Shandong Sinoglory Health Food Co.,"Chinese manufacturer of soybean oil, cake, and meal, and soybean protein isolates and concentrates.",Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,Ingredients,,Soy,Asia Pacific,Mainland China,,Liaocheng,https://en.sinoglorygroup.com/,2000,Hongxiang Wu
Shandong Wandefu Industrial Group Co.,China-based company producing and supplying soybean protein products ,Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,Ingredients,,Soy,Asia Pacific,Mainland China,,Dongying,http://www.chinaprotein.com.cn/,2017,Jishan Liu
Shandong Yuwang Industrial Co.,"China- based company involved in soybean deep processing, bio pharmaceutical, fine chemical, advanced carbon/ceramic material industries. ",Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,Ingredients,,Soy,Asia Pacific,Mainland China,,Yucheng,http://www.yuwangcn.com,1999,Xiteng Liu
"Shandong Yuxin Bio-Tech Co., Ltd.",Soy processing enterprise. ,Plant-based,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),Ingredient optimization,Ingredients,,Soy,Asia Pacific,Mainland China,,Binzhou,http://www.soya-protein.com/en/,2003,Zhaohui Liu
Shanghai Yancui Import and Export,Chinese chemical ingredient importer and exporter. ,Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,Ingredients,,,Asia Pacific,Mainland China,,Shanghai,http://www.yancui.com,2003,Hongyan Zhang
"Sharaf
  Natural Foods",UK-based producer of gluten-free and vegan products. ,Plant-based,B2C,Meat,Diversified,End product formulation and manufacturing,Other meat/seafood,Beef/veal,"Pea,Corn,Rice",Europe,United Kingdom,,Cheltenham,https://sharafsfood.co.uk/,2008,
share,"Every product sold by share includes a social donation, for each organic oat drink sold (original or barista), one day of drinking water is provided through partnerships with organizations in Sierra Leone and Kenya. ",Plant-based,"B2B,B2C",Dairy,Diversified,,Milk,,Oat,Europe,Germany,,Berlin,https://share.eu/,2018,"Sebastian Stricker, Iris Braun, Ben Unterkofler, and Tobias Reiner"
Shefa,"Brazilian producer of shelf-stable milk and juice products, including one line of soy milks.",Plant-based,B2C,Dairy,Diversified,End product formulation and manufacturing,Milk,,Soy,Latin America,Brazil,,Amparo,https://www.shefa.com.br/,1976,
Shenzhen Whole Perfect Foods Co.,China-based company producing a variety of plant-based meat products. 	,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Other meat/seafood","Beef/veal,Chicken,Pork,Other","Soy,Pea,Algae,Mushrooms",Asia Pacific,Mainland China,,Shenzhen,http://www.qishanfoods.com/index.html,1993,"Yu Zhaode, Yuanyuan Xie"
Shicken Foods,"UK-based producer of plant-based alternatives to meat-based foods, including kebabs and curries.",Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other meat/seafood,Chicken,"Soy,Wheat,Pea",Europe,United Kingdom,,London,https://shickenfoods.com/,2020,Satvinder and Parm Bains
Shijiazhuang Yuanchem Imp. & Exp.,Chemical supplier of bariam chloride. ,Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,Ingredients,,,Asia Pacific,Mainland China,,Shijiazhuang,http://www.yuanchem.com,2006,Yuan Cheng
Shire's Naturals,U.S.-based food company that makes cultured cashew-based cheeses. ,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,Cashew,United States and Canada,United States,New Hampshire,Harrisville,https://eatshires.com/,2012,Josh Velasquez
Shiru,"US-based biotechnology research startup aimed at creating sustainable functional ingredients, starting with gelatin and egg replacements, for alternative proteins and other plant-based foods.",Precision fermentation,"B2C,B2B",Ingredients and inputs,Specialized (focused on alternative proteins),"Ingredient optimization,Target molecule selection","Ingredients,Eggs",,,United States and Canada,United States,California,Alameda,https://www.shiru.com/,2019,Dr. Jasmin Hume
Shocken,"UK-based company owned and operated by Michelin star chefs creating a variety of vegan charcuterie, brie cheese, spicy n’duja spread and foie gras pate (faux gras).",Plant-based,"B2C,B2B","Meat,Dairy",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other meat/seafood,Cheese","Beef/veal,Pork,Turkey","Cashew,Yeast,Pumpkin,Hemp,Wheat,Chickpea,Soy,Beetroot ",Europe,United Kingdom,,London,https://shockenfoods.com/,2022,Emma Bowe and Peter Kalkowsky
Shroomeats,US-based company producing mushroom-based meat products.,Biomass fermentation,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Whole muscle meat/seafood",Beef/veal,Mushrooms,United States and Canada,United States,California,Avalon,https://www.shroomeats.co/,2016,"Pamas, Dissaya, and Mary"
Shukran Foods,Food company based in Spain specializing in hummus and spreads. Launched a plant-based egg for food service and hospitality.,Plant-based,"B2C,B2B",Eggs,Diversified,End product formulation and manufacturing,Eggs,,"Corn,Chickpea",Europe,Spain,,Getafe,https://shukran.es/,2012,
Siete Foods,Produces cashew queso and plant-based snacks like tortilla chips,Plant-based,B2C,Dairy,Diversified,End product formulation and manufacturing,Cheese,,Cashew,United States and Canada,United States,Texas,Austin,https://sietefoods.com/,2014,"Veronica Garza, Miguel Garza, Aida Garza"
Signature Products,"Signature Products focuses on developing hemp protein and oil for the food, oil extracts, and cosmetics sectors. They make plant-based meat  from hemp. ",Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,Ingredients,,Hemp,Europe,Germany,,Pforzheim,https://signature-products.com/en/hemp-based-meat/,2019,Florian Pilchmaier and Tobias Bühler
Silk,"Produces plant-based milks (soy, almond, coconut, and cashew-based), as well as plant-based yogurt and creamer. ",Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy",,"Almond,Oat,Soy,Coconut,Cashew",United States and Canada,United States,Colorado,Boulder,https://silk.com/,1977,Steve Demos
Simple Planet,The South Korea-based company that produces cell-based meat and fat products,Cultivated,B2C,"Meat,Seafood,Pet food,Ingredients and inputs",Specialized (focused on alternative proteins),"Cell line development,Cell culture media","Whole muscle meat/seafood,Ground meat/seafood,Other meat/seafood,Oils and fats","Chicken,Beef/veal,Pork,Duck,Other fish,Tuna,Crab",,Asia Pacific,South Korea,,Seoul,http://www.simpleplanet.io,2021,Ildoo Jeong
SimpliiGood,"Israel-based company that produces fresh spirulina and offers various plant-based food products, such as burgers and schnitzels, under the brand ""Spirulina Deli""",Plant-based,"B2C,B2B","Ingredients and inputs,Meat",Specialized (focused on alternative proteins),"End product formulation and manufacturing,Ingredient optimization",Ground meat/seafood,,"Algae,Blue-green algae (cyanobacteria)",Africa/Middle East,Israel,,Herzliya,https://simpliigood.com/,2015,"Baruch Dach, Lior Shalev"
Simply Eggless,"Shelf-stable liquid plant-based egg for frying, scrambling, and baking from a lupin bean base",Plant-based,B2C,Eggs,Specialized (focused on alternative proteins),End product formulation and manufacturing,Eggs,,Lupine,United States and Canada,United States,New York ,Great Neck,https://trysimplyeggless.com/,2019,
SimplyV,U.S.-based producer of plant-based spreads and cheese.,Plant-based,"B2C,B2B",Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Other dairy",,"Coconut,Almond","Europe,United States and Canada",Germany,,Oberreute,https://simplyv.com/,2015,Caroline Zimmer
Simulate,"Animal-free chicken nuggets and patties, sold under the brand name NUGGS. ",Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Chicken,"Wheat,Soy,Corn",United States and Canada,United States,New York ,New York,https://simulate.com/,2018,Ben Pasternak and Alexis Ohanian 
Sincarne,U.S.-based company focused on creating mycoprotein products for both wholesale and retail markets.,Biomass fermentation,"B2C,B2B",Ingredients and inputs,Specialized (focused on alternative proteins),"End product formulation and manufacturing,Host strain development",,,Fungi,United States and Canada,United States,California,Sunnyvale,https://sincarne.com/,2021,Brian Sefton
"Sineafoods
  s.r.o.","Czech-based brand of plant-based meat, cheese, and snack products.",Plant-based,B2C,"Meat,Dairy",Diversified,End product formulation and manufacturing,"Other meat/seafood,Cheese",,Lupine,Europe,Czech Republic,,Brno,https://www.sineafoods.com/cs/,2016,Viktor Ruzicka
SingCell,"Singapore-based company providing scalable bioprocessing of various cell types, including mesenchymal stem cells, myoblasts, and adipose stem cells for cultivated meat and stem cell applications. ",Cultivated,B2B,"Bioprocessing infrastructure and equipment,Ingredients and inputs",Diversified,"Bioprocess design,Cell line development",Other,,,Asia Pacific,Singapore,,Singapore,https://www.singcell.com/,2020,"Karolis Rosickas, Colby Colasanto, Steve Oh"
Sir Kensington's,Produces fabanaise (chickpea aquafaba based).,Plant-based,B2C,Eggs,Diversified,End product formulation and manufacturing,Eggs,,Chickpea,United States and Canada,United States,New York ,New York,https://sirkensingtons.com/,2008,"Mark Ramadan, Scott Norton"
Sirabella's Vegan Cheesecake,Produces vegan cheescakes that taste like the real thing and have half the calories and zero cholesterol.,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Other dairy",,Soy,United States and Canada,United States,New Jersey ,Clifton,http://www.VeganCheesecake.net,2014,"Avi Strauss, Marc Sirabella"
Skinny Butcher ,Plant-based chicken company. ,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,,Chicken,,United States and Canada,United States,Michigan,Birmingham,https://skinnybutcher.com/about/,2019,"Dave Zilko, Mike Griffin "
"Smallfood, Inc.",Canadian company that produces novel proteins sourced from micro-algae. ,Biomass fermentation,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),"Ingredient optimization,Target molecule selection",Other,,"Algae,Microalgae,Omega-3 ,EPA/DHA",United States and Canada,Canada,,Halifax,www.smallfood.com,2018,Marc St-Onge
Smart Balance,"US-based company that produces plant-based butter, as well as other oils and spreads.",Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other dairy,,,United States and Canada,United States,Colorado,Boulder,https://www.smartbalance.com/,1997,
Smart MCs,Australian based company that provides the means for up-scaling the cell culture of cultivated meat companies.,Cultivated,"B2C,B2B",Bioprocessing infrastructure and equipment,Diversified,"Scaffolding and structure,Ingredient optimization",,,,Australia/New Zealand,Australia,,Sydney,www.SmartMCs.com.au,2022,"Payar Radfar, Lin Ding and Majid Ebrahimi Warkiani"
So Delicious,"Produces So Delicious brand plant-based milks (almond, coconut, and cashew-based), ice cream and frozen desserts, yogurts, and creamers. ",Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy,Cheese",,"Almond,Coconut,Oat,Cashew",United States and Canada,United States,Oregon,Eugene,http://sodeliciousdairyfree.com/,1987,
SoFine,"Netherlands-based producer of a range of plant-based fish, meat, and cheese products as well as tofu. ",Plant-based,"B2C,B2B","Meat,Seafood,Dairy",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other meat/seafood,Cheese,Ground meat/seafood","Other fish,Chicken","Soy,Omega-3 ,Chickpea",Europe,Netherlands,,Landgraaf,https://www.sofinefoods.com/en/,1963,
Sofit,Plant-based almond and soy milk. ,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,"Soy,Almond",Asia Pacific,India ,,Mumbai,https://www.hersheyland.in/sofit,2012,
Soft Spot,"Develops plant-based cheeses with the flavor, texture, and aroma of their dairy counterparts ",Plant-based,"B2B,B2C",Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,Cashew,Asia Pacific,India ,,Mumbai,www.softspotfoods.com,2019,Anushi Patel
SoiLabs,"Singapore food tech firm using soy waste (okara) to produce value-added products like plant-based cream cheese, cheese slices, and soups. ",Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),"End product formulation and manufacturing,Ingredient optimization",Cheese,,,Asia Pacific,Singapore,,Singapore,https://www.linkedin.com/company/soilabs/,2022,Hafnium Ventures
SOJA AUSTRIA,Austrian producer of soy-based ingredients for food manufacturers. ,Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,Other,,Soy,Europe,Austria,,Vienna,https://soyaustria.com/en/,1752,
Soja Mania Indústria de Alimentos,Brazilian producer of soy-based meats. ,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other meat/seafood,Ground meat/seafood",Beef/veal,Soy,Latin America,Brazil,,Blumenau,https://www.sojamania.com.br/,2004,
Sojabio,"France-based producer of soy products, including tofu, cheese, and cheesy spreads.",Plant-based,B2C,"Meat,Dairy",Diversified,End product formulation and manufacturing,Cheese,,"Soy,Almond",Europe,France,,Agen,https://sojabio.com/,2013,
Sojade,"France-based plant-based yogurt, cheese, and milk producer.",Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other dairy,Milk,Cheese",,"Soy,Hemp,Rice,Almond,Wheat",Europe,France,,Noyal sur Vilaine,https://www.sojade.co.uk/,1950,
Sojami,"Frace-based company specializing in soybean lactofermentation to produce a range of tasty dairy-free, gluten-free, vegan spreads from organic GMO-free soy.","Plant-based,Fermentation-derived",B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Milk,Other dairy",,Soy,Europe,France,,Agen,http://lesojami.com/,1997,
Sojasun,"Sojasun is a French company that sells soy-based products, including milk and desserts.",Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy",,"Soy,Corn",Europe,France,,Chateaubourg,https://www.sojasun.com/,1988,
Sokołów S.A.,Major Polish meat producer that owns the vegan brand “Z gruntu dobre”.,Plant-based,B2B,Meat,Diversified,End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Pork",,Europe,Poland,,Sokołów Podlaski,https://sokolow.pl/,1899,
Solar Biotech,"Use mini-plant architecture to reduce the time-to-market for synthetic biology products, from years to months, at a reduced cost. Work with biodesigned cosmetics, functional food ingredients, bioelectronic components, and other industries.","Precision fermentation,Cultivated",B2B,Bioprocessing infrastructure and equipment,Diversified,Bioprocess design,,,,United States and Canada,United States,Virginia,Norton,https://www.solarbiotech.com/,2019,
Solar Foods,Finnish food technology company harvesting air protein.,"Biomass fermentation,Cultivated",B2B,"Ingredients and inputs,Bioprocessing infrastructure and equipment",Specialized (focused on alternative proteins),"Bioprocess design,Ingredient optimization,Cell line development",,,CO2,"Europe,United States and Canada",Finland,,Lappeenranta,https://solarfoods.com,2017,"Pasi Vainikka, Juha-Pekka Pitkänen, Jero Ahola, Janne Mäkelä, and Jari Tuovinen"
Solid Food,"Quinoa specialist provider with production in Ayacucho, Peru and distribution in Europe out of Belgium.",Plant-based,B2B,"Ingredients and inputs,Contract manufacturing/processing",Diversified,Ingredient optimization,Ingredients,Beef/veal,Quinoa,"Latin America,Europe,United States and Canada",Belgium,,Gent,https://www.solidfood.global/,2015,Solid
Solmeyea ,Carbon-neutral FDA & EFSA approved proteins suitable for plant-based or conventional food formulation. ,"Fermentation-derived,Biomass fermentation",B2B,Ingredients and inputs,Diversified,Ingredient optimization,"Ingredients,Oils and fats",,Microalgae,Europe,Greece,,Pallini,https://solmeyea.com/index.html,2019,Vasilis Stenos and Diego Grumbach
Some Good Fauxmage,Produces artisan vegan cheeses,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,"Cashew,Coconut",United States and Canada,Canada,,Charlottetown,https://somegoodfauxmage.com/,2017,Julain Molnar
SoMeat,Japan-based company that produces soy-based meat products. ,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Other meat/seafood","Chicken,Pork,Beef/veal",Soy,Asia Pacific,Japan,,Chuo,https://www.someat.net/,1862,
Soon Soon Oilmills SDN BHD,"Integrated oilseed, grain and oil processing company for the food and feed industry. ",Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,,,"Soy,Pea,Lupine",Asia Pacific,Malaysia,,"Penang, Malaysia",http://www.soonsoonoil.com.my,1978,
Sophie's BioNutrients,"Algae-based protein. BioNutrients will use local food waste, and limited amounts of water to produce micro-algae protein within metropolitan areas in many parts of the globe. ",Biomass fermentation,"B2C,B2B","Ingredients and inputs,Dairy",Specialized (focused on alternative proteins),End product formulation and manufacturing,,,"Algae,Microalgae",Asia Pacific,Singapore,,,https://sophiesbionutrients.com/,2017,Eugene Wang
Sora Alimentos,Brazilian producer of plant-based meats and cheeses.,Plant-based,B2C,"Meat,Dairy",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other meat/seafood,Cheese","Beef/veal,Pork","Soy,Pea,Quinoa",Latin America,Brazil,,Salvador,https://sora.com.br/,2008,
Sorvetes Hoba,Brazilian producer of plant-based ice cream. ,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other dairy,,"Cashew,Banana",Latin America,Brazil,,Rio de Janeiro,https://munddi.com/hoba,2017,
SOTO,"German company that specializes in plant-based burgers, nuggets, falafel, and other finger foods.",Plant-based,"B2C,B2B",Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other meat/seafood,Ground meat/seafood",Beef/veal,"Pea,Cashew,Quinoa,Sweet potato,Rice,Hemp,Soy",Europe,Germany,,Bad Endorf,https://www.soto.de/,1988,Maria Schramm
Soul Solutions,US-based producer of plant-based meat products.,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Chicken,Beef/veal",Pea,United States and Canada,United States,California,San Clemente,https://www.thesoulpatty.com/,2010,
Sound Eats,"U.S.-based company pursuing a science-forward approach to the development of textured, cultivated fish meat.",Cultivated,B2C,Seafood,Specialized (focused on alternative proteins),"Cell culture media,Bioprocess design","Whole muscle meat/seafood,Ground meat/seafood,Ingredients",Other fish,,United States and Canada,United States,Washington,Seattle,https://www.soundeats.com/,2022,"Nick Geisse, David Mack, Alec Smith, Alessandro Bertero, Jeanot Muster, and Greg Potter"
Southern Illinois University - National Corn-to-Ethanol Research Center,,Fermentation-derived,B2B,Contract manufacturing/processing,Diversified,,,,,United States and Canada,United States,,,www.ethanolresearch.com,2003,
SOWN,US-based producer of organic oat coffee creamer. ,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,Oat,United States and Canada,United States,Minnesota,Eden Prairie,https://sown.com/our-creamers/,2021,
Soy,"France-based producer of plant-based foodstuffs, including soy-based meats and soy and rice milks.",Plant-based,B2C,"Meat,Dairy,Seafood",Diversified,End product formulation and manufacturing,"Other meat/seafood,Ground meat/seafood,Milk,Other dairy",,"Soy,Lentils,Rice,Hazelnut,Millet,Seaweed",Europe,France,,Revel,https://www.soy.fr/,1970,Bernard Storup
Soy Austria,Austrian producer of soy-based ingredients for food manufacturers. ,Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,Ingredients,,Soy,Europe,Austria,,Vienna,www.soyaustria.com,1752,
